"","title","writer","page","price"
"1","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"2","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"3","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"4","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"5","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"6","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"7","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"8","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"9","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"10","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"11","엑셀 데이터 분석 바이블","최준선 ",712,34200
"12","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"13","실전 시계열 분석","에일린 닐슨 ",568,34200
"14","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"15","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"16","러닝 SQL","앨런 볼리외 ",456,27000
"17","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"18","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"19","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"20","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"21","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"22","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"23","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"24","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"25","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"26","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"27","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"28","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"29","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"30","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"31","엑셀 데이터 분석 바이블","최준선 ",712,34200
"32","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"33","실전 시계열 분석","에일린 닐슨 ",568,34200
"34","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"35","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"36","러닝 SQL","앨런 볼리외 ",456,27000
"37","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"38","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"39","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"40","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"41","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"42","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"43","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"44","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"45","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"46","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"47","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"48","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"49","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"50","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"51","엑셀 데이터 분석 바이블","최준선 ",712,34200
"52","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"53","실전 시계열 분석","에일린 닐슨 ",568,34200
"54","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"55","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"56","러닝 SQL","앨런 볼리외 ",456,27000
"57","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"58","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"59","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"60","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"61","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"62","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"63","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"64","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"65","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"66","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"67","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"68","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"69","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"70","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"71","엑셀 데이터 분석 바이블","최준선 ",712,34200
"72","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"73","실전 시계열 분석","에일린 닐슨 ",568,34200
"74","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"75","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"76","러닝 SQL","앨런 볼리외 ",456,27000
"77","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"78","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"79","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"80","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"81","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"82","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"83","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"84","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"85","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"86","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"87","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"88","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"89","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"90","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"91","엑셀 데이터 분석 바이블","최준선 ",712,34200
"92","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"93","실전 시계열 분석","에일린 닐슨 ",568,34200
"94","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"95","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"96","러닝 SQL","앨런 볼리외 ",456,27000
"97","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"98","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"99","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"100","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"101","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"102","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"103","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"104","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"105","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"106","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"107","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"108","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"109","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"110","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"111","엑셀 데이터 분석 바이블","최준선 ",712,34200
"112","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"113","실전 시계열 분석","에일린 닐슨 ",568,34200
"114","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"115","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"116","러닝 SQL","앨런 볼리외 ",456,27000
"117","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"118","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"119","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"120","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"121","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"122","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"123","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"124","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"125","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"126","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"127","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"128","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"129","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"130","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"131","엑셀 데이터 분석 바이블","최준선 ",712,34200
"132","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"133","실전 시계열 분석","에일린 닐슨 ",568,34200
"134","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"135","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"136","러닝 SQL","앨런 볼리외 ",456,27000
"137","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"138","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"139","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"140","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"141","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"142","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"143","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"144","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"145","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"146","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"147","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"148","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"149","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"150","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"151","엑셀 데이터 분석 바이블","최준선 ",712,34200
"152","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"153","실전 시계열 분석","에일린 닐슨 ",568,34200
"154","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"155","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"156","러닝 SQL","앨런 볼리외 ",456,27000
"157","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"158","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"159","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"160","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"161","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"162","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"163","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"164","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"165","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"166","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"167","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"168","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"169","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"170","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"171","엑셀 데이터 분석 바이블","최준선 ",712,34200
"172","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"173","실전 시계열 분석","에일린 닐슨 ",568,34200
"174","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"175","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"176","러닝 SQL","앨런 볼리외 ",456,27000
"177","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"178","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"179","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"180","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"181","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"182","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"183","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"184","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"185","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"186","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"187","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"188","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"189","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"190","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"191","엑셀 데이터 분석 바이블","최준선 ",712,34200
"192","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"193","실전 시계열 분석","에일린 닐슨 ",568,34200
"194","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"195","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"196","러닝 SQL","앨런 볼리외 ",456,27000
"197","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"198","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"199","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"200","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"201","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"202","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"203","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"204","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"205","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"206","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"207","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"208","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"209","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"210","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"211","엑셀 데이터 분석 바이블","최준선 ",712,34200
"212","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"213","실전 시계열 분석","에일린 닐슨 ",568,34200
"214","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"215","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"216","러닝 SQL","앨런 볼리외 ",456,27000
"217","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"218","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"219","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"220","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"221","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"222","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"223","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"224","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"225","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"226","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"227","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"228","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"229","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"230","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
"231","엑셀 데이터 분석 바이블","최준선 ",712,34200
"232","쿼커스 쿡북","알렉스 소토 부에노 , 제이슨 포터 ",460,31500
"233","실전 시계열 분석","에일린 닐슨 ",568,34200
"234","스파크를 활용한 실시간 처리","제러드 마스 , 프랑수아 가릴로 ",472,34200
"235","게임 엔진 블랙 북 : 둠","파비앙 상글라르 ",472,37800
"236","러닝 SQL","앨런 볼리외 ",456,27000
"237","이야기로 배우는 구글 빅쿼리","구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ",256,18000
"238","쓰면서 익히는 알고리즘과 자료구조","윤대석 ",388,23400
"239","몽고DB 완벽 가이드(3판)","크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ",600,32400
"240","맛있는 디자인 프리미어 프로 CC 2021","정지원 , 심수진 , 윤성우 , 김덕영 ",484,21600
"241","모던 자바스크립트 핵심 가이드","알베르토 몬탈레시 ",284,17820
"242","고성능 파이썬(2판)","미샤 고렐릭 , 이안 오스발트 ",528,32400
"243","데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ",428,31500
"244","데이터 과학을 위한 통계(2판)","피터 브루스 , 앤드루 브루스 , 피터 게데크 ",380,30600
"245","일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기","강남석 ",492,25200
"246","소문난 명강의 : 김상형의 SQL 정복","김상형 ",708,35100
"247","이벤트 기반 마이크로서비스 구축","애덤 벨메어 ",380,25200
"248","파이썬 비동기 라이브러리 Asyncio","케일럽 해팅 ",176,16200
"249","한 권으로 끝내는 Node & Express(2판)","이선 브라운 ",448,25200
"250","맛있는 디자인 어도비 XD CC","임선주 ",364,21600
